ts,ecg
1626177558550.48,-4.03361845417243
1626177558553.8,-4.01854503375829
1626177558557.13,-3.99063396342206
1626177558560.46,-3.98378240868836
1626177558563.78,-3.96654533941094
1626177558567.11,-3.97837328653017
1626177558570.43,-3.92969118710651
1626177558573.76,-3.93264817388632
1626177558577.09,-3.92868148430365
1626177558580.41,-3.92579661915262
1626177558583.74,-3.91432928017727
1626177558587.07,-3.91923355093402
1626177558590.39,-3.9312057413108
1626177558593.72,-3.96286713634338
1626177558597.05,-3.96878110990299
1626177558600.37,-3.96229016331317
1626177558603.7,-4.03441179208896
1626177558607.03,-4.07754052609688
1626177558610.35,-4.0950660818894
1626177558613.68,-4.08071387776302
1626177558617,-4.16235556153721
1626177558620.33,-4.18305446899587
1626177558623.66,-4.23274627122239
1626177558626.98,-4.24486270485672
1626177558630.31,-4.2410402585316
1626177558633.64,-4.27630773500296
1626177558636.96,-4.28806356049342
1626177558640.29,-4.29534784499977
1626177558643.62,-4.31965283389721
1626177558646.94,-4.3414335657875
1626177558650.27,-4.3369620248034
1626177558653.59,-4.36869554146475
1626177558656.92,-4.36523370328351
1626177558660.25,-4.35297302639163
1626177558663.57,-4.35535304014123
1626177558666.9,-4.37460951502437
1626177558670.23,-4.38261501581848
1626177558673.55,-4.37100343358558
1626177558676.88,-4.38174955627317
1626177558680.21,-4.3685512982072
1626177558683.53,-4.40223209884549
1626177558686.86,-4.42314737119047
1626177558690.19,-4.39956359858079
1626177558693.51,-4.41420428922228
1626177558696.84,-4.40316968001958
1626177558700.16,-4.40475635585265
1626177558703.49,-4.42617647959906
1626177558706.82,-4.42934983126519
1626177558710.14,-4.42386858747823
1626177558713.47,-4.39538054411179
1626177558716.8,-4.38586048911339
1626177558720.12,-4.42689769588681
1626177558723.45,-4.42408495236456
1626177558726.78,-4.43396561550684
1626177558730.1,-4.41124730244247
1626177558733.43,-4.41759400577474
1626177558736.76,-4.41737764088841
1626177558740.08,-4.40417938282244
1626177558743.41,-4.42386858747823
1626177558746.73,-4.42848437171988
1626177558750.06,-4.41160791058635
1626177558753.39,-4.39314477361974
1626177558756.71,-4.41225700524533
1626177558760.04,-4.40930001846552
1626177558763.37,-4.41975765463801
1626177558766.69,-4.42011826278189
1626177558770.02,-4.41463701899493
1626177558773.35,-4.41139154570002
1626177558776.67,-4.3914859761579
1626177558780,-4.40266482861815
1626177558783.33,-4.41788249228984
1626177558786.65,-4.43396561550684
1626177558789.98,-4.40807395077633
1626177558793.3,-4.41117518081369
1626177558796.63,-4.41882007346393
1626177558799.96,-4.42415707399333
1626177558803.28,-4.39682297668731
1626177558806.61,-4.4069921263447
1626177558809.94,-4.41247337013166
1626177558813.26,-4.38636534051482
1626177558816.59,-4.39725570645996
1626177558819.92,-4.41182427547267
1626177558823.24,-4.41088669429859
1626177558826.57,-4.40857880217776
1626177558829.9,-4.40151088255774
1626177558833.22,-4.40266482861815
1626177558836.55,-4.41636793808555
1626177558839.87,-4.40187149070162
1626177558843.2,-4.41708915437331
1626177558846.53,-4.43035953406805
1626177558849.85,-4.42293100630415
1626177558853.18,-4.41975765463801
1626177558856.51,-4.41579096505534
1626177558859.83,-4.42156069535741
1626177558863.16,-4.41824310043372
1626177558866.49,-4.41730551925963
1626177558869.81,-4.43374925062051
1626177558873.14,-4.42978256103785
1626177558876.46,-4.4141321675935
1626177558879.79,-4.41954128975168
1626177558883.12,-4.41896431672148
1626177558886.44,-4.42437343887966
1626177558889.77,-4.41759400577474
1626177558893.1,-4.40367453142101
1626177558896.42,-4.4030975583908
1626177558899.75,-4.44009595395278
1626177558903.08,-4.43273954781765
1626177558906.4,-4.44355779213402
1626177558909.73,-4.43432622365072
1626177558913.06,-4.43634562925644
1626177558916.38,-4.41052608615471
1626177558919.71,-4.42350797933435
1626177558923.03,-4.4251667767962
1626177558926.36,-4.44355779213402
1626177558929.69,-4.43086438546948
1626177558933.01,-4.43685048065787
1626177558936.34,-4.44968813057996
1626177558939.67,-4.43951898092258
1626177558942.99,-4.44485598145199
1626177558946.32,-4.47197371387168
1626177558949.65,-4.44860630614833
1626177558952.97,-4.44240384607361
1626177558956.3,-4.44204323792973
1626177558959.63,-4.44550507611097
1626177558962.95,-4.44745236008792
1626177558966.28,-4.4346868317946
1626177558969.6,-4.45769363137408
1626177558972.93,-4.4597130369798
1626177558976.26,-4.43591289948379
1626177558979.58,-4.44399052190668
1626177558982.91,-4.44716387357281
1626177558986.24,-4.46843975406167
1626177558989.56,-4.46079486141144
1626177558992.89,-4.44038444046789
1626177558996.22,-4.45113056315548
1626177558999.54,-4.43511956156725
1626177559002.87,-4.42177706024373
1626177559006.2,-4.45206814432957
1626177559009.52,-4.42906134475009
1626177559012.85,-4.44536083285342
1626177559016.17,-4.44716387357281
1626177559019.5,-4.444206886793
1626177559022.83,-4.43829291323339
1626177559026.15,-4.44262021095994
